Metric,Mean_LSB,Var_LSB,Mean_DFT,Var_DFT,Mean_Hybrid,Var_Hybrid
SSIM,0.9999996836305993,2.1965594898132622e-14,0.9976452298707932,1.5624662458010546e-06,0.9976449852679272,1.562658566721404e-06
NC_JPEG,0.22617574257425743,0.06059860380569308,0.7156559405940595,0.0028467763768564368,0.7165841584158416,0.002651512221534653
NC_Resize,0.43270420792079206,0.04659053991336633,0.41029290429042903,0.06880729789775852,0.5564768976897689,0.017410147655390538
